Start time,End time,Hall-Bedroom door,Hall-Bathroom door,ToiletFlush,Plates cupboard,Fridge,Microwave,Groceries Cupboard,Hall-Toilet door,Frontdoor,Pans Cupboard,Freezer,Cups cupboard,Dishwasher,Washingmachine,Label,Label_ID
2008-02-28 09:48:00,2008-02-28 09:49:00,1,1,,,,,,,,,,,,,use toilet,4
2008-02-28 09:49:00,2008-02-28 09:49:00,1,2,,,,,,,,,,,,,use toilet,4
2008-02-28 09:49:00,2008-02-28 09:49:00,1,2,1,,,,,,,,,,,,use toilet,4
2008-02-28 09:49:00,2008-02-28 09:49:00,,1,,,,,,,,,,,,,prepare Breakfast,13
2008-02-28 09:49:00,2008-02-28 09:49:00,,1,1,,,,,,,,,,,,prepare Breakfast,13
2008-02-28 09:50:00,2008-02-28 09:50:00,,1,1,1,,,,,,,,,,,prepare Breakfast,13
2008-02-28 09:50:00,2008-02-28 09:50:00,,1,1,1,,,1,,,,,,,,prepare Breakfast,13
2008-02-28 09:50:00,2008-02-28 09:50:00,,1,1,1,,,2,,,,,,,,prepare Breakfast,13
2008-02-28 09:50:00,2008-02-28 09:50:00,,1,1,1,,,3,,,,,,,,prepare Breakfast,13
2008-02-28 09:50:00,2008-02-28 09:50:00,,1,1,1,,,4,,,,,,,,prepare Breakfast,13
2008-02-28 09:50:00,2008-02-28 09:50:00,,1,1,1,,,5,,,,,,,,prepare Breakfast,13
2008-02-28 09:51:00,2008-02-28 09:51:00,,1,1,1,,,6,,,,,,,,prepare Breakfast,13
2008-02-28 09:51:00,2008-02-28 09:51:00,,1,1,1,,,7,,,,,,,,prepare Breakfast,13
2008-02-28 09:51:00,2008-02-28 09:51:00,,1,1,1,1,,7,,,,,,,,prepare Breakfast,13
2008-02-28 10:35:00,2008-02-28 10:35:00,,1,,,,,,,,,,,,,use toilet,4
2008-02-28 10:37:00,2008-02-28 10:37:00,,1,1,,,,,,,,,,,,use toilet,4
2008-02-28 10:37:00,2008-02-28 10:37:00,,2,1,,,,,,,,,,,,use toilet,4
2008-02-28 10:38:00,2008-02-28 10:38:00,,,,,,,,1,,,,,,,take shower,5
2008-02-28 10:46:00,2008-02-28 10:46:00,,,,,,,,2,,,,,,,take shower,5
2008-02-28 10:46:00,2008-02-28 10:46:00,,,,,,,,3,,,,,,,take shower,5
2008-02-28 10:58:00,2008-02-28 10:58:00,,,,,,,,,1,,,,,,leave house,1
2008-02-29 08:03:00,2008-02-29 08:03:00,1,,,,,,,,,,,,,,go to bed,10
2008-02-29 08:03:00,2008-02-29 08:03:00,1,1,,,,,,,,,,,,,go to bed,10
2008-02-29 08:03:00,2008-02-29 08:03:00,1,2,,,,,,,,,,,,,go to bed,10
2008-02-29 08:03:00,2008-02-29 08:03:00,1,,,,,,,,,,,,,,use toilet,4
2008-02-29 08:03:00,2008-02-29 08:03:00,1,1,,,,,,,,,,,,,use toilet,4
2008-02-29 08:03:00,2008-02-29 08:03:00,1,2,,,,,,,,,,,,,use toilet,4
2008-02-29 08:03:00,2008-02-29 08:04:00,2,2,,,,,,,,,,,,,use toilet,4
2008-02-29 08:04:00,2008-02-29 08:04:00,2,3,,,,,,,,,,,,,use toilet,4
2008-02-29 10:22:00,2008-02-29 10:22:00,,,,1,,,,,,,,,,,prepare Breakfast,13
2008-02-29 10:22:00,2008-02-29 10:23:00,,,,1,,,1,,,,,,,,prepare Breakfast,13
2008-02-29 10:23:00,2008-02-29 10:23:00,,,,1,1,,1,,,,,,,,prepare Breakfast,13
2008-02-29 10:30:00,2008-02-29 10:30:00,,1,,,,,,,,,,,,,use toilet,4
2008-02-29 10:30:00,2008-02-29 10:30:00,,1,1,,,,,,,,,,,,use toilet,4
2008-02-29 10:30:00,2008-02-29 10:30:00,,1,2,,,,,,,,,,,,use toilet,4
2008-02-29 10:30:00,2008-02-29 10:30:00,,2,2,,,,,,,,,,,,use toilet,4
2008-02-29 10:30:00,2008-02-29 10:30:00,,1,,,,,,,,,,,,,take shower,5
2008-02-29 10:30:00,2008-02-29 10:30:00,,1,1,,,,,,,,,,,,take shower,5
2008-02-29 10:30:00,2008-02-29 10:30:00,,1,2,,,,,,,,,,,,take shower,5
2008-02-29 10:30:00,2008-02-29 10:30:00,,2,2,,,,,,,,,,,,take shower,5
2008-02-29 10:30:00,2008-02-29 10:31:00,,2,2,,,,,1,,,,,,,take shower,5
2008-02-29 10:31:00,2008-02-29 10:31:00,,2,2,,,,,2,,,,,,,take shower,5
2008-02-29 10:38:00,2008-02-29 10:38:00,,2,2,,,,,3,,,,,,,take shower,5
2008-02-29 10:48:00,2008-02-29 10:48:00,,,,,,,,,1,,,,,,leave house,1
2008-03-03 08:49:00,2008-03-03 08:49:00,1,,,,,,,,,,,,,,go to bed,10
2008-03-03 08:50:00,2008-03-03 08:50:00,1,1,,,,,,,,,,,,,go to bed,10
2008-03-03 08:50:00,2008-03-03 08:50:00,,1,,,,,,,,,,,,,use toilet,4
2008-03-03 08:52:00,2008-03-03 08:52:00,,2,,,,,,,,,,,,,use toilet,4
2008-03-03 09:01:00,2008-03-03 09:01:00,,,,1,,,,,,,,,,,prepare Breakfast,13
2008-03-03 09:01:00,2008-03-03 09:01:00,,,,1,,,1,,,,,,,,prepare Breakfast,13
2008-03-03 09:01:00,2008-03-03 09:01:00,,,,1,,,2,,,,,,,,prepare Breakfast,13
2008-03-03 09:02:00,2008-03-03 09:02:00,,,,2,,,2,,,,,,,,prepare Breakfast,13
2008-03-03 09:02:00,2008-03-03 09:02:00,,,,2,,,3,,,,,,,,prepare Breakfast,13
2008-03-03 09:02:00,2008-03-03 09:02:00,,,,2,1,,3,,,,,,,,prepare Breakfast,13
2008-03-03 09:02:00,2008-03-03 09:02:00,,,,2,2,,3,,,,,,,,prepare Breakfast,13
2008-03-03 09:17:00,2008-03-03 09:17:00,,,,,,,,1,,,,,,,take shower,5
2008-03-03 09:17:00,2008-03-03 09:17:00,,,,,,,,2,,,,,,,take shower,5
2008-03-03 09:31:00,2008-03-03 09:31:00,,,,,,,,3,,,,,,,take shower,5
2008-03-03 09:45:00,2008-03-03 09:45:00,,,,,,,,,1,,,,,,leave house,1
2008-03-04 09:07:00,2008-03-04 09:07:00,,,,,,,,,2,,,,,,leave house,1
2008-03-04 09:10:00,2008-03-04 09:10:00,,1,,,,,,,,,,,,,use toilet,4
2008-03-04 09:11:00,2008-03-04 09:11:00,,2,,,,,,,,,,,,,use toilet,4
2008-03-04 09:11:00,2008-03-04 09:11:00,,2,1,,,,,,,,,,,,use toilet,4
2008-03-04 09:11:00,2008-03-04 09:11:00,,3,1,,,,,,,,,,,,use toilet,4
2008-03-04 09:16:00,2008-03-04 09:16:00,,,,,,,,,1,,,,,,leave house,1
2008-03-05 09:28:00,2008-03-05 09:29:00,,1,,,,,,,,,,,,,use toilet,4
2008-03-05 09:29:00,2008-03-05 09:29:00,,1,1,,,,,,,,,,,,use toilet,4
2008-03-05 09:29:00,2008-03-05 09:29:00,,2,1,,,,,,,,,,,,use toilet,4
2008-03-05 09:29:00,2008-03-05 09:29:00,,,1,,,,,,,,,,,,prepare Breakfast,13
2008-03-05 09:29:00,2008-03-05 09:29:00,,1,1,,,,,,,,,,,,prepare Breakfast,13
2008-03-05 09:29:00,2008-03-05 09:30:00,,1,1,1,,,,,,,,,,,prepare Breakfast,13
2008-03-05 09:30:00,2008-03-05 09:30:00,,1,1,1,,,1,,,,,,,,prepare Breakfast,13
2008-03-05 09:30:00,2008-03-05 09:30:00,,1,1,1,1,,1,,,,,,,,prepare Breakfast,13
2008-03-05 09:30:00,2008-03-05 09:30:00,,1,1,1,1,,2,,,,,,,,prepare Breakfast,13
2008-03-05 09:30:00,2008-03-05 09:30:00,,1,1,1,2,,2,,,,,,,,prepare Breakfast,13
2008-03-05 09:45:00,2008-03-05 09:45:00,,,,,,,,1,,,,,,,take shower,5
2008-03-05 09:45:00,2008-03-05 09:45:00,,,,,,,,2,,,,,,,take shower,5
2008-03-05 09:53:00,2008-03-05 09:53:00,,,,,,,,3,,,,,,,take shower,5
2008-03-05 10:12:00,2008-03-05 10:12:00,,,,,,,,,1,,,,,,leave house,1
2008-03-06 08:39:00,2008-03-06 08:39:00,,1,,,,,,,,,,,,,use toilet,4
2008-03-06 08:40:00,2008-03-06 08:40:00,,2,,,,,,,,,,,,,use toilet,4
2008-03-06 09:04:00,2008-03-06 09:04:00,,,,,,,,,,1,,,,,prepare Breakfast,13
2008-03-06 09:04:00,2008-03-06 09:04:00,,,,,1,,,,,1,,,,,prepare Breakfast,13
2008-03-06 09:04:00,2008-03-06 09:04:00,,,,,2,,,,,1,,,,,prepare Breakfast,13
2008-03-06 09:04:00,2008-03-06 09:04:00,,,,,3,,,,,1,,,,,prepare Breakfast,13
2008-03-06 09:05:00,2008-03-06 09:05:00,,,,,4,,,,,1,,,,,prepare Breakfast,13
2008-03-06 09:05:00,2008-03-06 09:05:00,,,,1,4,,,,,1,,,,,prepare Breakfast,13
2008-03-06 09:05:00,2008-03-06 09:05:00,,,,1,5,,,,,1,,,,,prepare Breakfast,13
2008-03-06 09:07:00,2008-03-06 09:07:00,,,,1,5,,,,,1,1,,,,prepare Breakfast,13
2008-03-06 09:07:00,2008-03-06 09:07:00,,,,2,5,,,,,1,1,,,,prepare Breakfast,13
2008-03-06 09:07:00,2008-03-06 09:07:00,,,,2,5,,,,,1,2,,,,prepare Breakfast,13
2008-03-06 09:09:00,2008-03-06 09:09:00,,,,2,5,,,,,1,2,1,,,prepare Breakfast,13
2008-03-06 09:09:00,2008-03-06 09:09:00,,,,2,5,1,,,,1,2,1,,,prepare Breakfast,13
2008-03-06 09:38:00,2008-03-06 09:38:00,,1,,,,,,,,,,,,,use toilet,4
2008-03-06 09:40:00,2008-03-06 09:40:00,,1,1,,,,,,,,,,,,use toilet,4
2008-03-06 09:42:00,2008-03-06 09:42:00,,1,2,,,,,,,,,,,,use toilet,4
2008-03-06 09:42:00,2008-03-06 09:42:00,,2,2,,,,,,,,,,,,use toilet,4
2008-03-06 09:42:00,2008-03-06 09:43:00,,2,2,,,,,1,,,,,,,use toilet,4
2008-03-06 10:23:00,2008-03-06 10:23:00,,,,,,,,1,,,,,,,take shower,5
2008-03-06 10:23:00,2008-03-06 10:23:00,,,,,,,,2,,,,,,,take shower,5
2008-03-06 10:30:00,2008-03-06 10:30:00,,,,,,,,3,,,,,,,take shower,5
2008-03-06 10:30:00,2008-03-06 10:30:00,,,,,,,,4,,,,,,,take shower,5
2008-03-06 10:38:00,2008-03-06 10:38:00,,,,,,,,,1,,,,,,leave house,1
2008-03-07 08:44:00,2008-03-07 08:44:00,,1,,,,,,,,,,,,,use toilet,4
2008-03-07 08:45:00,2008-03-07 08:45:00,,1,1,,,,,,,,,,,,use toilet,4
2008-03-07 08:45:00,2008-03-07 08:45:00,,2,1,,,,,,,,,,,,use toilet,4
2008-03-07 08:49:00,2008-03-07 08:49:00,,,,,1,,,,,,,,,,get drink,17
2008-03-07 08:49:00,2008-03-07 08:49:00,,,,,1,,,,,,,1,,,get drink,17
2008-03-07 08:49:00,2008-03-07 08:49:00,,,,,2,,,,,,,1,,,get drink,17
2008-03-07 08:50:00,2008-03-07 08:50:00,,,,1,,,,,,,,,,,prepare Breakfast,13
2008-03-07 08:50:00,2008-03-07 08:50:00,,,,1,,,1,,,,,,,,prepare Breakfast,13
2008-03-07 08:50:00,2008-03-07 08:50:00,,,,1,1,,1,,,,,,,,prepare Breakfast,13
2008-03-07 08:51:00,2008-03-07 08:51:00,,,,1,2,,1,,,,,,,,prepare Breakfast,13
2008-03-07 09:07:00,2008-03-07 09:07:00,,,,,,,,1,,,,,,,take shower,5
2008-03-07 09:29:00,2008-03-07 09:29:00,,,,,,,,,1,,,,,,leave house,1
2008-03-07 09:29:00,2008-03-07 09:29:00,,,,,,,,,2,,,,,,leave house,1
2008-03-08 08:20:00,2008-03-08 08:20:00,1,,,,,,,,,,,,,,go to bed,10
2008-03-08 08:20:00,2008-03-08 08:20:00,1,1,,,,,,,,,,,,,go to bed,10
2008-03-08 08:20:00,2008-03-08 08:20:00,1,,,,,,,,,,,,,,use toilet,4
2008-03-08 08:20:00,2008-03-08 08:20:00,1,1,,,,,,,,,,,,,use toilet,4
2008-03-08 08:21:00,2008-03-08 08:21:00,1,1,1,,,,,,,,,,,,use toilet,4
2008-03-08 08:21:00,2008-03-08 08:21:00,1,2,1,,,,,,,,,,,,use toilet,4
2008-03-08 08:21:00,2008-03-08 08:21:00,,,1,,,,,,,,,,,,get drink,17
2008-03-08 08:21:00,2008-03-08 08:21:00,,1,1,,,,,,,,,,,,get drink,17
2008-03-08 08:22:00,2008-03-08 08:22:00,,1,1,,,,,,,,,1,,,get drink,17
2008-03-08 08:22:00,2008-03-08 08:22:00,,1,1,,1,,,,,,,1,,,get drink,17
2008-03-08 08:22:00,2008-03-08 08:22:00,,1,1,,2,,,,,,,1,,,get drink,17
2008-03-08 08:33:00,2008-03-08 08:33:00,,1,,,,,,,,,,,,,use toilet,4
2008-03-08 08:35:00,2008-03-08 08:35:00,,1,1,,,,,,,,,,,,use toilet,4
2008-03-08 08:35:00,2008-03-08 08:35:00,,2,1,,,,,,,,,,,,use toilet,4
2008-03-08 08:35:00,2008-03-08 08:35:00,,3,1,,,,,,,,,,,,use toilet,4
2008-03-08 08:35:00,2008-03-08 08:35:00,,3,2,,,,,,,,,,,,use toilet,4
2008-03-08 08:35:00,2008-03-08 08:35:00,,3,3,,,,,,,,,,,,use toilet,4
2008-03-08 10:00:00,2008-03-08 10:00:00,,1,,,,,,,,,,,,,use toilet,4
2008-03-08 10:00:00,2008-03-08 10:01:00,,2,,,,,,,,,,,,,use toilet,4
2008-03-08 10:01:00,2008-03-08 10:01:00,,2,1,,,,,,,,,,,,use toilet,4
2008-03-08 10:26:00,2008-03-08 10:26:00,1,,,,,,,,,,,,,,go to bed,10
2008-03-08 10:26:00,2008-03-08 10:26:00,2,,,,,,,,,,,,,,go to bed,10
2008-03-08 10:26:00,2008-03-08 10:26:00,2,,,,,,,,,1,,,,,go to bed,10
2008-03-08 10:26:00,2008-03-08 10:26:00,2,,,,,,,,,1,,,1,,go to bed,10
2008-03-08 10:26:00,2008-03-08 10:26:00,1,,,,,,,,,,,,,,prepare Breakfast,13
2008-03-08 10:26:00,2008-03-08 10:26:00,2,,,,,,,,,,,,,,prepare Breakfast,13
2008-03-08 10:26:00,2008-03-08 10:26:00,2,,,,,,,,,1,,,,,prepare Breakfast,13
2008-03-08 10:26:00,2008-03-08 10:26:00,2,,,,,,,,,1,,,1,,prepare Breakfast,13
2008-03-08 10:27:00,2008-03-08 10:27:00,2,,,1,,,,,,1,,,1,,prepare Breakfast,13
2008-03-08 10:27:00,2008-03-08 10:28:00,2,,,1,,,,,,1,1,,1,,prepare Breakfast,13
2008-03-08 10:29:00,2008-03-08 10:29:00,2,,,1,1,,,,,1,1,,1,,prepare Breakfast,13
2008-03-08 11:12:00,2008-03-08 11:12:00,,1,,,,,,,,,,,,,use toilet,4
2008-03-08 11:12:00,2008-03-08 11:12:00,,1,,,,,,1,,,,,,,use toilet,4
2008-03-08 11:15:00,2008-03-08 11:15:00,,1,1,,,,,1,,,,,,,use toilet,4
2008-03-08 11:15:00,2008-03-08 11:15:00,,2,1,,,,,1,,,,,,,use toilet,4
2008-03-08 11:15:00,2008-03-08 11:15:00,,,1,,,,,,,,,,,,take shower,5
2008-03-08 11:15:00,2008-03-08 11:15:00,,1,1,,,,,,,,,,,,take shower,5
2008-03-08 11:15:00,2008-03-08 11:16:00,,1,1,,,,,1,,,,,,,take shower,5
2008-03-08 11:22:00,2008-03-08 11:22:00,,1,1,,,,,2,,,,,,,take shower,5
2008-03-08 11:36:00,2008-03-08 11:36:00,,,,,,,,,1,,,,,,leave house,1
2008-03-08 11:36:00,2008-03-08 11:36:00,,,,,,,,,2,,,,,,leave house,1
2008-03-10 08:33:00,2008-03-10 08:33:00,1,,,,,,,,,,,,,,go to bed,10
2008-03-10 08:35:00,2008-03-10 08:35:00,,1,,,,,,,,,,,,,use toilet,4
2008-03-10 08:35:00,2008-03-10 08:35:00,,1,1,,,,,,,,,,,,use toilet,4
2008-03-10 08:35:00,2008-03-10 08:35:00,,2,1,,,,,,,,,,,,use toilet,4
2008-03-10 08:49:00,2008-03-10 08:49:00,,1,,,,,,,,,,,,,use toilet,4
2008-03-10 08:51:00,2008-03-10 08:51:00,,1,1,,,,,,,,,,,,use toilet,4
2008-03-10 08:51:00,2008-03-10 08:51:00,,2,1,,,,,,,,,,,,use toilet,4
2008-03-10 08:51:00,2008-03-10 08:51:00,,2,1,,,,,1,,,,,,,use toilet,4
2008-03-10 09:25:00,2008-03-10 09:25:00,,,,,,,,1,,,,,,,prepare Breakfast,13
2008-03-10 09:26:00,2008-03-10 09:26:00,,,,1,,,,1,,,,,,,prepare Breakfast,13
2008-03-10 09:26:00,2008-03-10 09:26:00,,,,1,,,1,1,,,,,,,prepare Breakfast,13
2008-03-10 09:26:00,2008-03-10 09:26:00,,,,1,1,,1,1,,,,,,,prepare Breakfast,13
2008-03-10 09:26:00,2008-03-10 09:26:00,,,,1,2,,1,1,,,,,,,prepare Breakfast,13
2008-03-10 09:47:00,2008-03-10 09:47:00,,,,,,,,1,,,,,,,take shower,5
2008-03-10 09:55:00,2008-03-10 09:55:00,,,,,,,,2,,,,,,,take shower,5
2008-03-10 10:29:00,2008-03-10 10:29:00,,,,,,,,,1,,,,,,leave house,1
2008-03-10 10:29:00,2008-03-10 10:29:00,,,,,,,,,2,,,,,,leave house,1
2008-03-10 10:30:00,2008-03-10 10:30:00,,,,,,,,,3,,,,,,leave house,1
2008-03-11 09:01:00,2008-03-11 09:01:00,,,1,,,,,,,,,,,,use toilet,4
2008-03-11 09:01:00,2008-03-11 09:01:00,,,2,,,,,,,,,,,,use toilet,4
2008-03-11 09:18:00,2008-03-11 09:18:00,,,1,,,,,,,,,,,,use toilet,4
2008-03-11 09:18:00,2008-03-11 09:18:00,,,2,,,,,,,,,,,,use toilet,4
2008-03-11 09:18:00,2008-03-11 09:18:00,,,2,,,,,1,,,,,,,use toilet,4
2008-03-11 09:18:00,2008-03-11 09:18:00,,,2,,,,,2,,,,,,,use toilet,4
2008-03-11 09:18:00,2008-03-11 09:18:00,,,1,,,,,,,,,,,,take shower,5
2008-03-11 09:18:00,2008-03-11 09:18:00,,,2,,,,,,,,,,,,take shower,5
2008-03-11 09:18:00,2008-03-11 09:18:00,,,2,,,,,1,,,,,,,take shower,5
2008-03-11 09:18:00,2008-03-11 09:18:00,,,2,,,,,2,,,,,,,take shower,5
2008-03-11 09:26:00,2008-03-11 09:26:00,,,2,,,,,3,,,,,,,take shower,5
2008-03-11 09:33:00,2008-03-11 09:33:00,,,,,,,,,1,,,,,,leave house,1
2008-03-12 08:42:00,2008-03-12 08:42:00,,,1,,,,,,,,,,,,use toilet,4
2008-03-12 09:48:00,2008-03-12 09:48:00,,,,,1,,,,,,,,,,prepare Breakfast,13
2008-03-12 09:48:00,2008-03-12 09:48:00,,,,,2,,,,,,,,,,prepare Breakfast,13
2008-03-12 09:49:00,2008-03-12 09:49:00,,,,,2,,,,,,1,,,,prepare Breakfast,13
2008-03-12 09:49:00,2008-03-12 09:49:00,,,,1,2,,,,,,1,,,,prepare Breakfast,13
2008-03-12 09:50:00,2008-03-12 09:50:00,,,,1,2,,,,,,2,,,,prepare Breakfast,13
2008-03-12 09:51:00,2008-03-12 09:51:00,,,,1,3,,,,,,2,,,,prepare Breakfast,13
2008-03-12 09:52:00,2008-03-12 09:52:00,,,,1,4,,,,,,2,,,,prepare Breakfast,13
2008-03-12 09:59:00,2008-03-12 09:59:00,,,,,,,,,,,,1,,,get drink,17
2008-03-12 09:59:00,2008-03-12 09:59:00,,,,,1,,,,,,,1,,,get drink,17
2008-03-12 11:04:00,2008-03-12 11:04:00,,,1,,,,,,,,,,,,use toilet,4
2008-03-12 11:04:00,2008-03-12 11:04:00,,,2,,,,,,,,,,,,use toilet,4
2008-03-12 11:10:00,2008-03-12 11:10:00,,,,,,,,,1,,,,,,leave house,1
2008-03-12 12:21:00,2008-03-12 12:21:00,,,,,,,,,2,,,,,,leave house,1
2008-03-12 12:41:00,2008-03-12 12:41:00,,,,,,,,1,,,,,,,take shower,5
2008-03-12 12:54:00,2008-03-12 12:54:00,,,,,,,,,1,,,,,,leave house,1
2008-03-12 12:55:00,2008-03-12 12:55:00,,,,,,,,,2,,,,,,leave house,1
2008-03-13 08:22:00,2008-03-13 08:22:00,,,,,,,,1,,,,,,,use toilet,4
2008-03-13 08:22:00,2008-03-13 08:22:00,,,1,,,,,1,,,,,,,use toilet,4
2008-03-13 09:19:00,2008-03-13 09:20:00,,,,1,,,,,,,,,,,prepare Breakfast,13
2008-03-13 09:19:00,2008-03-13 09:19:00,,,,1,,,1,,,,,,,,prepare Breakfast,13
2008-03-13 09:20:00,2008-03-13 09:20:00,,,,1,,,2,,,,,,,,prepare Breakfast,13
2008-03-13 09:20:00,2008-03-13 09:20:00,,,,1,,,3,,,,,,,,prepare Breakfast,13
2008-03-13 09:20:00,2008-03-13 09:20:00,,,,1,,,4,,,,,,,,prepare Breakfast,13
2008-03-13 09:20:00,2008-03-13 09:20:00,,,,1,1,,4,,,,,,,,prepare Breakfast,13
2008-03-13 09:41:00,2008-03-13 09:41:00,,,,,,,,1,,,,,,,take shower,5
2008-03-13 09:47:00,2008-03-13 09:47:00,,,,,,,,2,,,,,,,take shower,5
2008-03-13 09:57:00,2008-03-13 09:57:00,,,,,,,,,1,,,,,,leave house,1
2008-03-14 09:12:00,2008-03-14 09:12:00,,1,,,,,,,,,,,,,use toilet,4
2008-03-14 09:13:00,2008-03-14 09:13:00,,1,1,,,,,,,,,,,,use toilet,4
2008-03-14 09:14:00,2008-03-14 09:14:00,,2,1,,,,,,,,,,,,use toilet,4
2008-03-14 09:14:00,2008-03-14 09:14:00,,2,2,,,,,,,,,,,,use toilet,4
2008-03-14 09:15:00,2008-03-14 09:15:00,,,,1,,,,,,,,,,,prepare Breakfast,13
2008-03-14 09:15:00,2008-03-14 09:15:00,,,,1,,,1,,,,,,,,prepare Breakfast,13
2008-03-14 09:15:00,2008-03-14 09:15:00,,,,1,1,,1,,,,,,,,prepare Breakfast,13
2008-03-14 09:18:00,2008-03-14 09:18:00,,,,2,1,,1,,,,,,,,prepare Breakfast,13
2008-03-14 09:57:00,2008-03-14 09:57:00,,1,,,,,,,,,,,,,use toilet,4
2008-03-14 09:59:00,2008-03-14 09:59:00,,1,1,,,,,,,,,,,,use toilet,4
2008-03-14 10:00:00,2008-03-14 10:00:00,,2,1,,,,,,,,,,,,use toilet,4
2008-03-14 10:00:00,2008-03-14 10:00:00,,2,1,,,,,1,,,,,,,use toilet,4
2008-03-14 10:31:00,2008-03-14 10:31:00,,,,,,,,1,,,,,,,take shower,5
2008-03-14 10:31:00,2008-03-14 10:31:00,,,,,,,,2,,,,,,,take shower,5
